# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
 159000    7.07e-01  8.88e-01    1.66e-03  2.69e-03    5.53e-02  6.95e-02    1.6e-04
 160000    8.28e-01  6.01e-01    4.04e-03  3.91e-03    6.53e-02  4.73e-02    1.6e-04
 161000    6.75e-01  6.75e-01    1.28e-03  1.14e-03    5.35e-02  5.35e-02    1.6e-04
 162000    8.92e-01  6.81e-01    2.40e-03  1.22e-03    7.14e-02  5.45e-02    1.5e-04
 163000    1.07e+00  8.98e-01    1.21e-03  1.57e-03    8.58e-02  7.20e-02    1.5e-04
 164000    7.50e-01  8.35e-01    1.98e-03  5.55e-04    6.08e-02  6.77e-02    1.5e-04
 165000    6.44e-01  9.48e-01    1.77e-03  6.19e-04    5.21e-02  7.68e-02    1.5e-04
 166000    7.17e-01  7.32e-01    4.91e-03  5.30e-03    5.84e-02  5.96e-02    1.5e-04
 167000    9.42e-01  7.95e-01    3.32e-03  5.62e-03    7.71e-02  6.48e-02    1.5e-04
 168000    1.00e+00  7.75e-01    4.02e-03  3.61e-03    8.29e-02  6.41e-02    1.4e-04
 169000    7.40e-01  1.04e+00    1.65e-03  3.85e-03    6.14e-02  8.63e-02    1.4e-04
 170000    1.05e+00  7.12e-01    1.59e-02  1.45e-02    8.57e-02  5.63e-02    1.4e-04
 171000    7.68e-01  7.03e-01    6.96e-03  7.16e-03    6.38e-02  5.82e-02    1.4e-04
 172000    8.47e-01  7.00e-01    3.27e-03  3.74e-03    7.17e-02  5.92e-02    1.4e-04
 173000    6.50e-01  7.40e-01    2.87e-03  2.84e-03    5.50e-02  6.27e-02    1.4e-04
 174000    8.43e-01  9.89e-01    6.65e-03  5.69e-03    7.18e-02  8.45e-02    1.3e-04
 175000    5.91e-01  9.39e-01    1.02e-02  1.01e-02    4.90e-02  7.95e-02    1.3e-04
 176000    9.04e-01  6.72e-01    3.31e-03  4.78e-03    7.83e-02  5.79e-02    1.3e-04
 177000    6.71e-01  5.82e-01    1.59e-03  3.89e-03    5.82e-02  5.03e-02    1.3e-04
 178000    5.70e-01  6.66e-01    1.61e-03  9.76e-05    5.00e-02  5.85e-02    1.3e-04
 179000    9.38e-01  6.53e-01    1.56e-03  6.09e-04    8.23e-02  5.73e-02    1.3e-04
 180000    6.25e-01  6.85e-01    4.17e-03  4.45e-03    5.52e-02  6.05e-02    1.3e-04
 181000    7.85e-01  6.97e-01    1.16e-02  1.09e-02    6.77e-02  5.99e-02    1.3e-04
 182000    6.96e-01  6.03e-01    5.75e-03  5.78e-03    6.19e-02  5.35e-02    1.2e-04
 183000    7.89e-01  6.19e-01    3.80e-03  2.52e-03    7.07e-02  5.55e-02    1.2e-04
 184000    6.34e-01  6.70e-01    1.69e-04  5.47e-04    5.76e-02  6.09e-02    1.2e-04
 185000    6.55e-01  8.01e-01    5.79e-03  7.11e-03    5.88e-02  7.19e-02    1.2e-04
 186000    8.20e-01  6.52e-01    1.13e-03  9.53e-04    7.53e-02  5.99e-02    1.2e-04
