# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
 219000    8.77e-01  6.49e-01    7.06e-04  2.28e-03    9.67e-02  7.14e-02    8.1e-05
 220000    6.46e-01  6.34e-01    4.83e-03  4.44e-03    7.15e-02  7.02e-02    7.9e-05
 221000    5.27e-01  8.03e-01    1.41e-03  2.38e-03    5.87e-02  8.95e-02    7.9e-05
 222000    5.49e-01  4.06e-01    2.37e-03  2.71e-03    6.17e-02  4.55e-02    7.8e-05
 223000    6.62e-01  6.88e-01    5.45e-03  4.14e-03    7.41e-02  7.72e-02    7.8e-05
 224000    6.37e-01  5.41e-01    6.67e-04  9.35e-06    7.27e-02  6.18e-02    7.6e-05
 225000    4.83e-01  6.80e-01    4.12e-03  3.79e-03    5.47e-02  7.73e-02    7.6e-05
 226000    5.62e-01  5.88e-01    8.82e-04  3.26e-03    6.49e-02  6.76e-02    7.4e-05
 227000    5.73e-01  6.43e-01    1.07e-03  2.14e-03    6.61e-02  7.41e-02    7.4e-05
 228000    5.90e-01  5.58e-01    1.95e-03  7.88e-04    6.88e-02  6.52e-02    7.2e-05
 229000    5.10e-01  7.57e-01    3.60e-03  3.63e-03    5.91e-02  8.81e-02    7.2e-05
 230000    4.74e-01  3.60e-01    2.77e-03  3.08e-03    5.57e-02  4.22e-02    7.1e-05
 231000    5.31e-01  5.62e-01    4.51e-03  3.14e-03    6.21e-02  6.61e-02    7.1e-05
 232000    5.93e-01  5.02e-01    7.06e-03  1.78e-03    6.95e-02  5.99e-02    6.9e-05
 233000    4.85e-01  5.55e-01    1.05e-02  1.08e-02    5.42e-02  6.29e-02    6.9e-05
 234000    5.97e-01  6.57e-01    9.30e-04  2.92e-05    7.20e-02  7.94e-02    6.8e-05
 235000    6.40e-01  5.70e-01    3.19e-03  2.09e-03    7.70e-02  6.87e-02    6.8e-05
 236000    4.24e-01  5.52e-01    2.98e-03  4.62e-03    5.15e-02  6.68e-02    6.6e-05
 237000    5.72e-01  7.76e-01    1.78e-03  3.98e-04    6.98e-02  9.48e-02    6.6e-05
 238000    8.03e-01  8.23e-01    2.44e-03  2.75e-03    9.91e-02  1.02e-01    6.5e-05
 239000    4.76e-01  3.86e-01    3.17e-04  3.52e-04    5.88e-02  4.76e-02    6.5e-05
 240000    6.24e-01  4.15e-01    4.47e-03  7.21e-03    7.73e-02  4.95e-02    6.3e-05
 241000    4.85e-01  5.57e-01    4.81e-03  5.63e-03    5.97e-02  6.86e-02    6.3e-05
 242000    4.80e-01  4.01e-01    2.50e-03  2.28e-03    6.05e-02  5.04e-02    6.2e-05
 243000    4.61e-01  4.93e-01    8.55e-03  1.01e-02    5.56e-02  5.88e-02    6.2e-05
 244000    4.78e-01  5.01e-01    9.56e-04  7.03e-04    6.10e-02  6.40e-02    6.0e-05
 245000    5.31e-01  5.37e-01    3.59e-03  5.32e-03    6.74e-02  6.76e-02    6.0e-05
 246000    4.77e-01  4.11e-01    8.78e-03  7.00e-03    5.92e-02  5.12e-02    5.9e-05
 247000    3.93e-01  4.79e-01    2.59e-03  3.00e-03    5.06e-02  6.17e-02    5.9e-05
 248000    4.43e-01  4.04e-01    1.20e-03  3.98e-03    5.79e-02  5.21e-02    5.8e-05
 249000    4.55e-01  5.54e-01    1.27e-03  3.12e-03    5.94e-02  7.21e-02    5.8e-05
 250000    4.12e-01  4.09e-01    6.18e-04  3.76e-04    5.45e-02  5.40e-02    5.6e-05
 251000    4.30e-01  4.77e-01    6.70e-04  2.44e-03    5.68e-02  6.28e-02    5.6e-05
 252000    4.51e-01  4.38e-01    4.87e-03  4.32e-03    5.94e-02  5.78e-02    5.5e-05
 253000    5.52e-01  3.99e-01    3.29e-03  5.54e-03    7.35e-02  5.20e-02    5.5e-05
 254000    4.19e-01  4.57e-01    3.70e-03  2.94e-03    5.61e-02  6.14e-02    5.4e-05
 255000    4.70e-01  3.34e-01    1.83e-03  1.74e-03    6.34e-02  4.49e-02    5.4e-05
 256000    4.77e-01  4.00e-01    1.35e-03  3.45e-03    6.51e-02  5.42e-02    5.2e-05
